场景类别,类别内排名,Skill名称,链接,推荐得分,评级,具体作用,Stars,Forks,语言
邮件营销,5,deanpeters/product-strategy-session,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/product-strategy-session,80,⭐⭐⭐⭐ 顶级,邮件营销与用户触达,4715,603,Shell
视频创作,1,NVIDIA/video-search-and-summarization/vios,https://github.com/NVIDIA/skills/tree/main/skills/video-search-and-summarization/vios,91,⭐⭐⭐⭐⭐ 夯,视频生成、理解或处理,921,109,Python
视频创作,2,google/cloud/agent-platform-skill-registry,https://github.com/google/skills/tree/main/skills/cloud/agent-platform-skill-registry,90,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,11081,885,Python
视频创作,3,NVIDIA/video-search-and-summarization/alerts,https://github.com/NVIDIA/skills/tree/main/skills/video-search-and-summarization/alerts,87,⭐⭐⭐⭐⭐ 夯,视频生成、理解或处理,921,109,Python
视频创作,4,NVIDIA/video-search-and-summarization/deploy,https://github.com/NVIDIA/skills/tree/main/skills/video-search-and-summarization/deploy,87,⭐⭐⭐⭐⭐ 夯,视频生成、理解或处理,921,109,Python
视频创作,5,NVIDIA/video-search-and-summarization/vss-frag,https://github.com/NVIDIA/skills/tree/main/skills/video-search-and-summarization/vss-frag,87,⭐⭐⭐⭐⭐ 夯,视频生成、理解或处理,921,109,Python
图片生成,1,sanjay3290/imagen,https://github.com/sanjay3290/ai-skills/tree/main/skills/imagen,90,⭐⭐⭐⭐⭐ 夯,图片生成与编辑,306,27,Python
图片生成,2,veniceai/venice-image-edit,https://github.com/veniceai/skills/tree/main/skills/venice-image-edit,79,⭐⭐⭐⭐ 顶级,图片生成与编辑,81,13,Python
图片生成,3,NVIDIA/Megatron-Core/bump-base-image,https://github.com/NVIDIA/skills/tree/main/skills/Megatron-Core/bump-base-image,77,⭐⭐⭐⭐ 顶级,图片生成与编辑,921,109,Python
语音音频,1,blader/humanizer,https://github.com/blader/humanizer,82,⭐⭐⭐⭐ 顶级,写作辅助与文本优化,22143,2116,未知
语音音频,2,veniceai/venice-audio-speech,https://github.com/veniceai/skills/tree/main/skills/venice-audio-speech,78,⭐⭐⭐⭐ 顶级,音频生成、转录或处理,81,13,Python
语音音频,3,NVIDIA/nemotron-voice-agent/nemotron-voice-agent-deploy,https://github.com/NVIDIA/skills/tree/main/skills/nemotron-voice-agent/nemotron-voice-agent-deploy,78,⭐⭐⭐⭐ 顶级,语音合成与语音代理,921,109,Python
写作文案,1,NeoLabHQ/write-concisely,https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/docs/skills/write-concisely,86,⭐⭐⭐⭐⭐ 夯,写作辅助与文本优化,1069,98,TypeScript
写作文案,2,coreyhaines31/copy-editing,https://github.com/coreyhaines31/marketingskills/tree/main/skills/copy-editing,84,⭐⭐⭐⭐ 顶级,写作辅助与文本优化,31677,5223,JavaScript
写作文案,3,obra/writing-plans,https://github.com/obra/superpowers/blob/main/skills/writing-plans/SKILL.md,84,⭐⭐⭐⭐ 顶级,写作辅助与文本优化,216177,19252,Shell
写作文案,4,coreyhaines31/content-strategy,https://github.com/coreyhaines31/marketingskills/tree/main/skills/content-strategy,83,⭐⭐⭐⭐ 顶级,写作辅助与文本优化,31677,5223,JavaScript
写作文案,5,NVIDIA/TensorRT-LLM/kernel-cute-writing,https://github.com/NVIDIA/skills/tree/main/skills/TensorRT-LLM/kernel-cute-writing,83,⭐⭐⭐⭐ 顶级,写作辅助与文本优化,921,109,Python
办公文档,1,Skill_Seekers,https://github.com/yusufkaraaslan/Skill_Seekers,95,⭐⭐⭐⭐⭐ 夯,PDF 文档处理与转换,13911,1439,Python
办公文档,2,zarazhangrui/frontend-slides,https://github.com/zarazhangrui/frontend-slides,91,⭐⭐⭐⭐⭐ 夯,演示文稿生成与美化,20092,1648,JavaScript
办公文档,3,kreuzberg-dev/kreuzberg,https://github.com/kreuzberg-dev/kreuzberg/tree/main/skills/kreuzberg,88,⭐⭐⭐⭐⭐ 夯,文档处理与知识整理,8432,497,Rust
办公文档,4,deanpeters/recommendation-canvas,https://github.com/deanpeters/Product-Manager-Skills/tree/main/skills/recommendation-canvas,86,⭐⭐⭐⭐⭐ 夯,文档处理与知识整理,4715,603,Shell
办公文档,5,NVIDIA/NeMo-Gym/nemo-gym-pivot-datasets,https://github.com/NVIDIA/skills/tree/main/skills/NeMo-Gym/nemo-gym-pivot-datasets,83,⭐⭐⭐⭐ 顶级,文档处理与知识整理,921,109,Python
界面设计,1,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,90,⭐⭐⭐⭐⭐ 夯,界面设计与用户体验优化,86630,8949,Python
界面设计,2,coreyhaines31/churn-prevention,https://github.com/coreyhaines31/marketingskills/tree/main/skills/churn-prevention,84,⭐⭐⭐⭐ 顶级,界面设计与用户体验优化,31677,5223,JavaScript
界面设计,3,phuryn/stakeholder-map,https://github.com/phuryn/pm-skills/tree/main/pm-execution/skills/stakeholder-map,84,⭐⭐⭐⭐ 顶级,界面设计与用户体验优化,11878,1401,未知
界面设计,4,phuryn/opportunity-solution-tree,https://github.com/phuryn/pm-skills/tree/main/pm-product-discovery/skills/opportunity-solution-tree,84,⭐⭐⭐⭐ 顶级,界面设计与用户体验优化,11878,1401,未知
界面设计,5,muratcankoylan/tool-design,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/tool-design,84,⭐⭐⭐⭐ 顶级,智能体工作流与任务协作,16279,1318,Python
编程开发,1,czlonkowski/n8n-code-python,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-code-python,96,⭐⭐⭐⭐⭐ 夯,编程开发辅助,5272,903,Shell
编程开发,2,NVIDIA/deepstream/deepstream-dev,https://github.com/NVIDIA/skills/tree/main/skills/deepstream/deepstream-dev,90,⭐⭐⭐⭐⭐ 夯,编程开发辅助,921,109,Python
编程开发,3,czlonkowski/n8n-code-javascript,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-code-javascript,89,⭐⭐⭐⭐⭐ 夯,编程开发与框架实践,5272,903,Shell
编程开发,4,NeoLabHQ/sadd,https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/sadd,87,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,1069,98,TypeScript
编程开发,5,coreyhaines31/ad-creative,https://github.com/coreyhaines31/marketingskills/tree/main/skills/ad-creative,84,⭐⭐⭐⭐ 顶级,编程开发与框架实践,31677,5223,JavaScript
自动工作流,1,czlonkowski/n8n-workflow-patterns,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-workflow-patterns,89,⭐⭐⭐⭐⭐ 夯,自动化工作流搭建,5272,903,Shell
自动工作流,2,czlonkowski/n8n-expression-syntax,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-expression-syntax,83,⭐⭐⭐⭐ 顶级,自动化工作流与工具集成,5272,903,Shell
自动工作流,3,czlonkowski/n8n-node-configuration,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-node-configuration,83,⭐⭐⭐⭐ 顶级,自动化工作流与工具集成,5272,903,Shell
自动工作流,4,czlonkowski/n8n-validation-expert,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-validation-expert,83,⭐⭐⭐⭐ 顶级,自动化工作流与工具集成,5272,903,Shell
自动工作流,5,Charlie85270/Dorothy,https://github.com/Charlie85270/Dorothy,81,⭐⭐⭐⭐ 顶级,智能体工作流与任务协作,296,55,TypeScript
提示工程,1,muratcankoylan/context-fundamentals,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-fundamentals,96,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,16279,1318,Python
提示工程,2,muratcankoylan/multi-agent-patterns,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/multi-agent-patterns,96,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,16279,1318,Python
提示工程,3,obra/dispatching-parallel-agents,https://github.com/obra/superpowers/blob/main/skills/dispatching-parallel-agents/SKILL.md,93,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,216177,19252,Shell
提示工程,4,obra/subagent-driven-development,https://github.com/obra/superpowers/blob/main/skills/subagent-driven-development/SKILL.md,93,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,216177,19252,Shell
提示工程,5,obra/testing-skills-with-subagents,https://github.com/obra/superpowers/blob/main/skills/testing-skills-with-subagents/SKILL.md,93,⭐⭐⭐⭐⭐ 夯,智能体工作流与任务协作,216177,19252,Shell
大模型,1,NVIDIA/Model-Optimizer/launching-evals,https://github.com/NVIDIA/skills/tree/main/skills/Model-Optimizer/launching-evals,94,⭐⭐⭐⭐⭐ 夯,大语言模型训练、推理或评估,921,109,Python
大模型,2,NVIDIA/NeMo-Evaluator-Launcher/launching-evals,https://github.com/NVIDIA/skills/tree/main/skills/NeMo-Evaluator-Launcher/launching-evals,94,⭐⭐⭐⭐⭐ 夯,大语言模型训练、推理或评估,921,109,Python
大模型,3,NVIDIA/Megatron-Bridge/perf-moe-hardware-configs,https://github.com/NVIDIA/skills/tree/main/skills/Megatron-Bridge/perf-moe-hardware-configs,91,⭐⭐⭐⭐⭐ 夯,大模型训练工程,921,109,Python
大模型,4,NVIDIA/Megatron-Bridge/recipe-recommender,https://github.com/NVIDIA/skills/tree/main/skills/Megatron-Bridge/recipe-recommender,91,⭐⭐⭐⭐⭐ 夯,大模型训练工程,921,109,Python
大模型,5,NVIDIA/TensorRT-LLM/kernel-tileir-optimization,https://github.com/NVIDIA/skills/tree/main/skills/TensorRT-LLM/kernel-tileir-optimization,91,⭐⭐⭐⭐⭐ 夯,大语言模型训练、推理或评估,921,109,Python
数据检索,1,NVIDIA/rag/rag-blueprint,https://github.com/NVIDIA/skills/tree/main/skills/rag/rag-blueprint,78,⭐⭐⭐⭐ 顶级,检索增强生成与知识问答,921,109,Python
其他 / 暂未明确,1,NVIDIA/TileGym/improve-cutile-kernel-perf,https://github.com/NVIDIA/skills/tree/main/skills/TileGym/improve-cutile-kernel-perf,74,⭐⭐⭐⭐ 顶级,综合型人工智能技能应用,921,109,Python
其他 / 暂未明确,2,NVIDIA/cuopt/cuopt-server-common,https://github.com/NVIDIA/skills/tree/main/skills/cuopt/cuopt-server-common,73,⭐⭐⭐⭐ 顶级,综合型人工智能技能应用,921,109,Python
其他 / 暂未明确,3,NVIDIA/cuopt/cuopt-user-rules,https://github.com/NVIDIA/skills/tree/main/skills/cuopt/cuopt-user-rules,73,⭐⭐⭐⭐ 顶级,综合型人工智能技能应用,921,109,Python
